"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"1930","TENT4A",1.9038,"NA","81 vs 81","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 1",2.11,"-",NA,"-",NA,"9 vs 17",0.57,"-",NA,"-",NA,"37 vs 22",1.59,"30 vs 41",1,"-",NA
"1931","LRWD1",1.9026,"NA","765 vs 737","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.95,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"83 vs 74",1.65,"174 vs 176",0.99,"505 vs 484",1
"1932","RNF130",1.9015,"NA","156 vs 133","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"11 vs 15",0.93,"-",NA,"-",NA,"23 vs 15",1.69,"121 vs 103",1,"-",NA
"1933","MSLN",1.9013,"NA","1537 vs 1504","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 7",0.94,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"154 vs 130",2.08,"553 vs 555",0.99,"823 vs 812",0.99
"1934","CRLF1",1.9006,"NA","81 vs 66","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 15",3.18,"-",NA,"-",NA,"20 vs 28",0.63,"33 vs 21",1,"-",NA
"1935","UNKL",1.9003,"NA","223 vs 234","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.91,"-",NA,"-",NA,"30 vs 25",2.11,"74 vs 75",1,"115 vs 130",1
"1936","FGFBP2",1.8993,"NA","638 vs 647","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"55 vs 37",1.84,"-",NA,"582 vs 610",0.99
"1937","OR4D2",1.8993,"NA","212 vs 206","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"69 vs 64",1.84,"142 vs 142",1,"-",NA
"1938","MUC15",1.8993,"NA","232 vs 214","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"36 vs 28",1.84,"195 vs 185",1.03,"-",NA
"1939","LTBP3",1.8987,"NA","2 vs 0","2 vs 0",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"1940","MSH5",1.8985,"NA","1080 vs 1102","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 7",0.98,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 10",1.12,"6 vs 5",1,"147 vs 131",0.95,"41 vs 33",1.84,"117 vs 113",1,"748 vs 803",0.99
"1941","ICK",1.8984,"NA","75 vs 59","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.01,"-",NA,"-",NA,"54 vs 46",1.75,"16 vs 11",1,"-",NA
"1942","INTS6L",1.8982,"NA","50 vs 46","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"11 vs 5",1.93,"-",NA,"-",NA,"16 vs 17",0.98,"23 vs 24",1,"-",NA
"1943","KNSTRN",1.8981,"NA","72 vs 55","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"50 vs 40",1.95,"20 vs 13",1,"-",NA
"1944","ZNF582",1.8975,"NA","120 vs 123","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 7",0.94,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"46 vs 34",2.01,"69 vs 82",1,"-",NA
"1945","RTF1",1.8963,"NA","15 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 0",2.82,"-",NA,"-",NA,"9 vs 14",0.63,"-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA
"1946","SLFN11",1.8961,"NA","1318 vs 1222","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 11",0.89,"-",NA,"15 vs 12",0.89,"-",NA,"99 vs 100",1,"0 vs 5",0.63,"3 vs 4",1,"270 vs 229",0.91,"136 vs 98",4.18,"29 vs 24",1,"757 vs 739",0.99
"1947","CAMKK1",1.896,"NA","64 vs 57","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 14",0.99,"-",NA,"-",NA,"50 vs 43",1.91,"-",NA,"-",NA
"1948","GNB1L",1.896,"4","621 vs 616","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"60 vs 45",2.12,"104 vs 108",1,"457 vs 462",0.99
"1949","ATP5MC3",1.8957,"NA","36 vs 20","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.88,"-",NA,"-",NA,"12 vs 4",2.15,"23 vs 14",1,"-",NA
"1950","FGL1",1.8954,"NA","9 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 6",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"1951","PDS5A",1.8954,"NA","50 vs 36","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 4",1.16,"-",NA,"-",NA,"10 vs 8",0.93,"-",NA,"-",NA,"23 vs 14",1.77,"11 vs 10",1,"-",NA
"1952","FOXS1",1.8953,"NA","143 vs 151","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 49",1.98,"79 vs 101",0.99,"-",NA
"1953","MBP",1.8952,"NA","371 vs 363","-",NA,"-",NA,"2 vs 0",2.22,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"16 vs 20",0.86,"-",NA,"353 vs 343",1
"1954","LGR5",1.8949,"NA","525 vs 491","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 3",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"149 vs 136",2.06,"375 vs 352",0.99,"-",NA
"1955","ARHGAP28",1.8947,"NA","211 vs 199","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"71 vs 60",1.77,"137 vs 138",1,"-",NA
"1956","STIL",1.8945,"NA","328 vs 290","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"155 vs 136",1.7,"170 vs 154",1,"-",NA
"1957","FAM83G",1.8943,"NA","487 vs 469","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 15",1.86,"-",NA,"-",NA,"121 vs 117",1.03,"340 vs 335",0.99,"-",NA
"1958","ZNF771",1.8936,"NA","96 vs 91","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.15,"-",NA,"-",NA,"5 vs 1",1.48,"-",NA,"-",NA,"3 vs 2",1.11,"85 vs 86",1,"-",NA
"1959","CHAC2",1.8935,"NA","68 vs 66","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 27",1.88,"33 vs 38",1,"-",NA
"1960","FHL3",1.8931,"NA","161 vs 139","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 25",1,"49 vs 39",1,"-",NA,"25 vs 16",1.89,"59 vs 59",1,"-",NA
"1961","SV2A",1.8931,"NA","62 vs 45","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"2 vs 2",0.91,"-",NA,"-",NA,"17 vs 8",2.52,"-",NA,"-",NA,"43 vs 34",1.51,"-",NA,"-",NA
"1962","ARHGAP45",1.8924,"NA","258 vs 186","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"31 vs 27",0.86,"-",NA,"-",NA,"99 vs 69",1.81,"127 vs 90",1,"-",NA
"1963","GNB5",1.8924,"NA","94 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 9",2.34,"17 vs 20",1,"-",NA,"16 vs 18",0.83,"40 vs 46",1,"-",NA
"1964","TMEM203",1.8922,"NA","11 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.49,"-",NA,"-",NA,"9 vs 6",1.27,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"1965","FAM151B",1.8921,"NA","50 vs 30","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.14,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 30",1.65,"-",NA,"-",NA
"1966","RNF186",1.8918,"NA","516 vs 509","-",NA,"-",NA,"-",NA,"-",NA,"14 vs 21",0.98,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"57 vs 40",1.94,"104 vs 106",1,"341 vs 342",1
"1967","HNRNPH1",1.8917,"NA","12 vs 8","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.42,"-",NA,"-",NA,"8 vs 7",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"1968","KIAA1324L",1.8916,"NA","288 vs 275","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"116 vs 97",2.08,"171 vs 176",1.01,"-",NA
"1969","ZNF214",1.8914,"NA","187 vs 198","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 5",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"83 vs 65",1.86,"97 vs 128",0.99,"-",NA
"1970","MCHR2",1.891,"NA","312 vs 248","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"31 vs 21",1.72,"1 vs 1",1,"278 vs 226",1
"1971","LPAR6",1.89,"NA","168 vs 167","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 29",1.97,"131 vs 137",1,"-",NA
"1972","CCM2L",1.8896,"NA","80 vs 78","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"49 vs 58",1,"-",NA,"13 vs 4",1.93,"-",NA,"-",NA,"17 vs 16",0.94,"-",NA,"-",NA
"1973","BIN2",1.8895,"NA","397 vs 374","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"54 vs 37",1.97,"183 vs 188",1,"159 vs 147",1
"1974","RNF122",1.8879,"NA","30 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 13",2.28,"-",NA,"-",NA,"11 vs 10",0.83,"-",NA,"-",NA
"1975","BPNT1",1.8877,"NA","97 vs 98","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 5",2.18,"31 vs 31",1,"-",NA,"6 vs 8",0.81,"43 vs 54",1,"-",NA
"1976","ROBO1",1.8877,"5","904 vs 895","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 3",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"197 vs 183",2.06,"74 vs 70",1,"632 vs 639",1
"1977","PPP1R3D",1.8874,"NA","53 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 2",1.74,"-",NA,"-",NA,"4 vs 3",1.07,"-",NA,"-",NA,"11 vs 8",1.02,"32 vs 30",1,"-",NA
"1978","BICD1",1.8874,"NA","77 vs 61","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"31 vs 26",1.46,"-",NA,"-",NA,"46 vs 34",1.34,"-",NA,"-",NA
"1979","GAK",1.8873,"NA","1206 vs 1218","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.49,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"223 vs 208",1.29,"302 vs 319",0.99,"679 vs 691",0.99
"1980","CFD",1.8871,"NA","57 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.86,"-",NA,"-",NA,"30 vs 17",2.2,"26 vs 33",1,"-",NA
"1981","CHM",1.8858,"NA","196 vs 221","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.12,"-",NA,"-",NA,"23 vs 15",1.7,"37 vs 37",1,"133 vs 168",1
"1982","PRXL2A",1.8856,"NA","66 vs 51","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1.01,"-",NA,"-",NA,"29 vs 20",1.86,"35 vs 29",1,"-",NA
"1983","ZFAND5",1.8854,"NA","4 vs 3","-",NA,"-",NA,"2 vs 0",2.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"2 vs 2",0.99,"-",NA,"-",NA
"1984","COL9A1",1.8852,"NA","654 vs 580","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 8",0.77,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"128 vs 105",2.46,"137 vs 117",1,"387 vs 350",1
"1985","EPM2AIP1",1.8849,"NA","63 vs 56","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 10",2.78,"24 vs 23",1,"-",NA,"13 vs 18",0.68,"7 vs 5",1,"-",NA
"1986","ZNF382",1.8845,"NA","269 vs 250","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 0",1.64,"-",NA,"-",NA,"26 vs 24",1.16,"238 vs 226",1,"-",NA
"1987","PRPF38B",1.8842,"NA","513 vs 520","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.49,"-",NA,"-",NA,"11 vs 10",1.27,"-",NA,"-",NA,"27 vs 28",1,"144 vs 160",1,"329 vs 322",1
"1988","SASH3",1.8838,"NA","22 vs 12","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 4",1.25,"-",NA,"-",NA,"16 vs 8",1.51,"-",NA,"-",NA
"1989","SPRY1",1.8831,"NA","54 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"54 vs 34",1.88,"-",NA,"-",NA
"1990","SLC6A13",1.883,"NA","499 vs 507","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 2",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"116 vs 108",1.7,"128 vs 119",1,"249 vs 278",1
"1991","F2RL2",1.883,"NA","561 vs 558","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"67 vs 48",1.97,"32 vs 41",1,"462 vs 468",0.99
"1992","OR6K2",1.8828,"NA","292 vs 272","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"82 vs 66",1.86,"210 vs 206",1.01,"-",NA
"1993","KRT40",1.8823,"NA","370 vs 320","-",NA,"-",NA,"-",NA,"-",NA,"13 vs 11",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"94 vs 70",1.86,"263 vs 239",0.99,"-",NA
"1994","SLC25A11",1.8814,"NA","20 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 2",1.64,"-",NA,"-",NA,"11 vs 12",1.1,"-",NA,"-",NA,"4 vs 3",1.04,"-",NA,"-",NA
"1995","SEZ6",1.8803,"NA","392 vs 341","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 5",1.14,"83 vs 78",1,"-",NA,"97 vs 81",1.65,"203 vs 176",1,"-",NA
"1996","SEL1L",1.8802,"NA","597 vs 570","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 19",2.24,"-",NA,"-",NA,"66 vs 65",0.85,"55 vs 50",1,"452 vs 436",0.99
"1997","SYT12",1.8799,"NA","132 vs 100","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"83 vs 68",1.95,"49 vs 31",1,"-",NA
"1998","PRPF31",1.8794,"NA","31 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 1",2.11,"-",NA,"-",NA,"19 vs 24",1,"-",NA,"-",NA,"7 vs 9",0.89,"-",NA,"-",NA
"1999","TRAPPC4",1.8791,"NA","27 vs 20","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 3",2.14,"-",NA,"-",NA,"18 vs 17",0.82,"-",NA,"-",NA
"2000","TBL2",1.8783,"NA","1194 vs 1253","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"61 vs 48",1.97,"26 vs 32",1,"1106 vs 1171",0.99
"2001","PACRGL",1.8783,"NA","158 vs 164","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 7",1.05,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"34 vs 22",1.8,"112 vs 135",1,"-",NA
"2002","RNF40",1.8783,"NA","93 vs 73","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.49,"-",NA,"-",NA,"10 vs 10",0.92,"25 vs 15",1,"-",NA,"56 vs 48",1.38,"-",NA,"-",NA
"2003","SH3GL3",1.878,"NA","82 vs 86","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 7",1.05,"-",NA,"-",NA,"17 vs 5",1.84,"55 vs 73",1,"-",NA
"2004","ARMC8",1.8772,"NA","68 vs 62","1 vs 1",0.86,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 5",2.29,"-",NA,"-",NA,"12 vs 12",0.96,"41 vs 44",1,"-",NA
"2005","ITGA2B",1.877,"NA","195 vs 171","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"6 vs 5",0.74,"-",NA,"-",NA,"34 vs 23",1.43,"-",NA,"-",NA,"85 vs 76",1.7,"69 vs 67",1,"-",NA
"2006","BIK",1.8752,"NA","142 vs 129","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"21 vs 13",1.88,"121 vs 116",1,"-",NA
"2007","SGCE",1.8726,"NA","49 vs 35","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"48 vs 34",1.92,"-",NA,"-",NA
"2008","TMEM243",1.8722,"NA","73 vs 53","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.21,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"16 vs 6",1.55,"54 vs 47",1,"-",NA
"2009","NUCB1",1.8722,"NA","401 vs 373","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 3",1,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 7",1.07,"-",NA,"-",NA,"93 vs 73",1.77,"2 vs 7",1,"293 vs 283",1
"2010","NUMB",1.8722,"NA","509 vs 496","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.32,"-",NA,"-",NA,"10 vs 4",1.73,"-",NA,"-",NA,"36 vs 32",0.83,"42 vs 40",1,"418 vs 419",1
"2011","AGER",1.8715,"NA","245 vs 222","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"45 vs 48",2.03,"200 vs 172",0.99,"-",NA
"2012","ORC4",1.8707,"NA","795 vs 852","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"45 vs 35",1.89,"107 vs 111",1,"641 vs 704",1
"2013","DNAJC30",1.8705,"NA","440 vs 409","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 3",2.04,"47 vs 50",1,"-",NA,"9 vs 10",0.92,"-",NA,"374 vs 346",1
"2014","XBP1",1.8691,"NA","35 vs 35","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 6",0.8,"-",NA,"-",NA,"19 vs 12",2.26,"10 vs 17",1,"-",NA
"2015","TAGLN3",1.869,"NA","8 vs 2","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"3 vs 1",1.19,"-",NA,"-",NA,"4 vs 1",1.29,"-",NA,"-",NA
"2016","ATP1B3",1.8686,"NA","16 vs 7","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 4",1.2,"-",NA,"-",NA,"9 vs 3",1.56,"-",NA,"-",NA
"2017","AP2B1",1.8683,"NA","35 vs 25","2 vs 0",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.78,"-",NA,"-",NA,"21 vs 15",1.14,"-",NA,"-",NA,"12 vs 9",1.1,"-",NA,"-",NA
"2018","GALNT1",1.8683,"NA","39 vs 28","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"23 vs 13",1.3,"14 vs 14",1,"-",NA
"2019","EVX1",1.868,"NA","98 vs 84","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.55,"-",NA,"-",NA,"24 vs 17",1.09,"-",NA,"-",NA,"17 vs 16",1.11,"55 vs 51",1,"-",NA
"2020","RRP8",1.868,"NA","656 vs 623","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 6",0.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"76 vs 58",2.11,"177 vs 175",1,"400 vs 384",0.99
"2021","RNPEPL1",1.8677,"NA","167 vs 176","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"12 vs 11",1.04,"-",NA,"-",NA,"24 vs 20",1.48,"130 vs 145",1,"-",NA
"2022","PPIG",1.8671,"NA","88 vs 74","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"3 vs 1",1.32,"-",NA,"-",NA,"6 vs 5",0.99,"-",NA,"-",NA,"45 vs 45",0.99,"33 vs 23",1,"-",NA
"2023","PATE2",1.8667,"NA","21 vs 10","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"21 vs 8",1.96,"-",NA,"-",NA
"2024","RNF150",1.8666,"NA","202 vs 179","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 20",1.4,"-",NA,"-",NA,"21 vs 15",1.34,"108 vs 100",1,"40 vs 44",1
"2025","FETUB",1.8666,"NA","1000 vs 999","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"60 vs 55",1.75,"97 vs 97",1,"841 vs 847",0.99
"2026","EVL",1.8649,"NA","104 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 13",1.28,"-",NA,"-",NA,"10 vs 3",1.46,"79 vs 79",1,"-",NA
"2027","HKDC1",1.8648,"NA","1291 vs 1312","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 1",1.15,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"135 vs 135",1.65,"162 vs 189",0.99,"988 vs 987",0.99
"2028","HBG1",1.8643,"NA","7 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",2.06,"-",NA,"-",NA,"4 vs 4",0.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"2029","TNFRSF21",1.8636,"NA","151 vs 143","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 6",0.86,"21 vs 17",1,"-",NA,"66 vs 48",1.49,"58 vs 72",1,"-",NA
"2030","SRF",1.8632,"NA","49 vs 41","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 0",2.21,"-",NA,"-",NA,"1 vs 4",0.77,"23 vs 20",1,"-",NA,"21 vs 17",1.1,"-",NA,"-",NA
"2031","ZSCAN12",1.863,"NA","861 vs 805","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 6",0.98,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"51 vs 43",1.88,"162 vs 123",1.01,"641 vs 633",1
