"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"5362","FAM24B",1.0316,1,"NA","13 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 9",1.03
"5365","OR11H6",1.0315,1,"NA","162 vs 116","-",NA,"-",NA,"5 vs 4",0.97,"-",NA,"-",NA,"157 vs 112",1.06
"5366","DUXA",1.0315,1,"NA","41 vs 38","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"39 vs 37",1
"5367","IL13RA1",1.0315,1,"NA","28 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 23",1.03
"5368","GAS2",1.0315,1,"4","91 vs 77","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"90 vs 77",0.98
"5375","SPACA7",1.0312,1,"NA","279 vs 273","-",NA,"-",NA,"4 vs 2",1.04,"-",NA,"-",NA,"275 vs 271",0.99
"5381","ERMN",1.031,1,"4","126 vs 124","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"125 vs 124",1.01
"5385","SSTR3",1.0309,1,"NA","177 vs 170","-",NA,"-",NA,"-",NA,"-",NA,"52 vs 51",1.03,"125 vs 119",1
"5388","NOC2L",1.0308,1,"NA","7 vs 3","-",NA,"-",NA,"7 vs 3",1.03,"-",NA,"-",NA,"-",NA
"5390","ORC2",1.0308,1,"NA","44 vs 36","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"44 vs 36",1.03
"5392","HPF1",1.0307,1,"NA","114 vs 92","-",NA,"-",NA,"4 vs 3",1.01,"-",NA,"-",NA,"110 vs 89",1.02
"5396","OR5A1",1.0306,1,"NA","85 vs 63","-",NA,"-",NA,"9 vs 6",0.98,"-",NA,"-",NA,"76 vs 57",1.05
"5397","SBF1",1.0306,1,"3","2 vs 1","-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"-",NA,"-",NA
"5398","RFWD3",1.0306,1,"NA","2 vs 1","-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"-",NA,"-",NA
"5399","CFI",1.0306,1,"NA","221 vs 200","-",NA,"-",NA,"4 vs 1",1.08,"-",NA,"-",NA,"217 vs 199",0.96
"5402","PRR4",1.0305,1,"NA","12 vs 8","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"10 vs 7",1.02
"5408","TRPV1",1.0303,1,"NA","630 vs 617","-",NA,"-",NA,"3 vs 2",1.02,"-",NA,"-",NA,"627 vs 615",1.01
"5409","MFAP3",1.0303,1,"NA","61 vs 49","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"60 vs 49",1.01
"5410","MMP17",1.0303,1,"NA","525 vs 497","-",NA,"-",NA,"1 vs 1",1,"-",NA,"0 vs 0",1,"524 vs 496",1.03
"5411","CMTR2",1.0302,1,"NA","244 vs 215","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"243 vs 214",1.03
"5412","RIN2",1.0302,1,"NA","1283 vs 1179","-",NA,"-",NA,"2 vs 2",1.01,"-",NA,"1 vs 0",1.05,"1280 vs 1177",0.97
"5413","MEPE",1.0301,1,"NA","632 vs 532","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"631 vs 532",1.01
"5415","NUBP2",1.0301,1,"NA","186 vs 176","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"186 vs 176",1.03
"5416","RPL7A",1.0301,1,"NA","70 vs 63","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"69 vs 63",0.98
"5422","SH3BGR",1.03,1,"NA","24 vs 16","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"23 vs 16",1.01
"5423","CCRL2",1.0299,1,"NA","532 vs 524","-",NA,"-",NA,"4 vs 1",1.03,"-",NA,"-",NA,"528 vs 523",1
"5425","SOAT1",1.0299,1,"NA","437 vs 390","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"435 vs 389",1.01
"5426","ABT1",1.0298,1,"NA","96 vs 72","-",NA,"-",NA,"-",NA,"-",NA,"16 vs 14",1.01,"80 vs 58",1.02
"5431","DUOXA1",1.0297,1,"NA","207 vs 190","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"4 vs 4",1.06,"202 vs 185",0.99
"5432","VPREB1",1.0296,1,"NA","632 vs 632","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"631 vs 631",1.04
"5434","FXYD2",1.0296,1,"NA","44 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"44 vs 34",1.03
"5435","PLEKHG4B",1.0296,1,"NA","936 vs 934","-",NA,"-",NA,"7 vs 6",1.03,"-",NA,"-",NA,"929 vs 928",1
"5436","CNDP2",1.0295,1,"NA","155 vs 140","-",NA,"-",NA,"6 vs 2",1.09,"-",NA,"-",NA,"149 vs 138",0.94
"5437","ZMYM1",1.0295,1,"NA","307 vs 285","-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"305 vs 283",1.03
"5440","MLX",1.0295,1,"NA","21 vs 14","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"2 vs 2",0.99,"18 vs 12",1.01
"5441","ABCB11",1.0294,1,"NA","647 vs 634","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"646 vs 634",1.01
"5444","GLYATL1",1.0293,1,"NA","59 vs 52","-",NA,"-",NA,"8 vs 8",0.96,"-",NA,"-",NA,"51 vs 44",1.07
"5449","KRTAP24-1",1.0292,1,"NA","880 vs 848","-",NA,"-",NA,"6 vs 3",1.02,"-",NA,"-",NA,"874 vs 845",1.01
"5453","SLC35F4",1.029,1,"NA","35 vs 30","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 30",1.03
"5454","MTDH",1.029,1,"NA","1339 vs 1285","-",NA,"-",NA,"-",NA,"-",NA,"425 vs 399",1.08,"914 vs 886",0.96
"5456","MANBAL",1.0289,1,"NA","16 vs 11","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"16 vs 11",1.03
"5457","RIPK2",1.0289,1,"NA","69 vs 54","-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"10 vs 7",1.07,"58 vs 46",1.01
"5458","FOXN4",1.0289,1,"NA","742 vs 652","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"742 vs 652",1.03
"5461","TRAM1",1.0288,1,"NA","84 vs 71","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 8",1.05,"76 vs 63",0.98
"5463","ZNF449",1.0288,1,"NA","14 vs 7","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"13 vs 6",1.03
"5464","ZNF439",1.0287,1,"NA","1237 vs 1162","-",NA,"-",NA,"71 vs 68",1.04,"-",NA,"-",NA,"1166 vs 1094",0.99
"5467","HPS3",1.0287,1,"NA","311 vs 309","-",NA,"-",NA,"5 vs 3",1.04,"-",NA,"-",NA,"306 vs 306",0.99
"5469","NAP1L2",1.0287,1,"NA","15 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 14",1.03
"5471","RAD9A",1.0287,1,"NA","133 vs 116","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"132 vs 116",1.01
"5479","TMEM69",1.0284,1,"NA","58 vs 38","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"58 vs 38",1.03
"5481","NKAP",1.0284,1,"NA","17 vs 11","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 4",1.02,"12 vs 7",1.01
"5482","CCL7",1.0283,1,"NA","10 vs 7","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 7",1.03
"5489","SYCP3",1.0282,1,"NA","12 vs 9","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"11 vs 9",1.01
"5490","OR2A12",1.0282,1,"NA","90 vs 88","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"89 vs 88",1.01
"5491","GIN1",1.0281,1,"NA","74 vs 64","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 64",1.03
"5493","HBS1L",1.0281,1,"NA","300 vs 270","-",NA,"2 vs 1",1.06,"-",NA,"-",NA,"-",NA,"298 vs 269",0.97
"5496","MAGEA6",1.028,1,"NA","902 vs 853","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"901 vs 853",1.01
"5497","FBXO31",1.0279,1,"NA","79 vs 62","-",NA,"-",NA,"-",NA,"3 vs 3",0.96,"23 vs 18",1.06,"53 vs 41",1.01
"5499","TBCCD1",1.0279,1,"NA","43 vs 37","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"42 vs 36",1.03
"5500","RASL12",1.0278,1,"NA","39 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"39 vs 32",1.03
"5503","MBD5",1.0278,1,"3","238 vs 214","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"238 vs 214",1.03
"5504","HNRNPAB",1.0277,1,"NA","37 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 3",1.02,"33 vs 25",1.01
"5505","CXCL6",1.0277,1,"NA","11 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"11 vs 6",1.03
"5506","KRTAP21-1",1.0276,1,"NA","49 vs 35","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"49 vs 35",1.03
"5507","CENPN",1.0276,1,"NA","457 vs 446","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"456 vs 445",1.03
"5508","BUD13",1.0276,1,"NA","444 vs 410","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"-",NA,"441 vs 410",0.95
"5512","CYB561",1.0275,1,"NA","28 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.99,"24 vs 24",1.04
"5514","LST1",1.0275,1,"NA","4 vs 1","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"3 vs 1",1.01
"5515","SLA2",1.0274,1,"NA","138 vs 127","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"4 vs 3",0.99,"133 vs 124",1.01
"5516","FBXW8",1.0274,1,"NA","234 vs 212","-",NA,"-",NA,"21 vs 17",0.98,"-",NA,"-",NA,"213 vs 195",1.05
"5520","MRPL54",1.0273,1,"NA","83 vs 78","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"-",NA,"80 vs 78",0.95
"5521","APOC1",1.0272,1,"NA","204 vs 202","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"204 vs 202",1.03
"5524","WDR43",1.0272,1,"NA","136 vs 109","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"136 vs 109",1.03
"5525","C9orf153",1.0272,1,"NA","14 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 9",1.03
"5528","COL16A1",1.0271,1,"NA","1278 vs 1191","-",NA,"-",NA,"6 vs 4",1.03,"-",NA,"-",NA,"1272 vs 1187",1
"5531","SPN",1.027,1,"NA","378 vs 327","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"378 vs 327",1.03
"5532","POLE3",1.027,1,"NA","13 vs 10","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"1 vs 0",1.05,"11 vs 9",0.99
"5533","CEP89",1.027,1,"NA","284 vs 272","-",NA,"-",NA,"20 vs 19",0.94,"-",NA,"-",NA,"264 vs 253",1.1
"5536","PIGU",1.0269,1,"NA","191 vs 168","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"191 vs 168",1.03
"5537","IFT57",1.0269,1,"NA","277 vs 255","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"277 vs 255",1.03
"5539","DSCC1",1.0269,1,"NA","101 vs 69","-",NA,"-",NA,"-",NA,"-",NA,"60 vs 41",1,"41 vs 28",1.02
"5540","MAD1L1",1.0269,1,"NA","245 vs 226","-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"243 vs 224",1.03
"5541","TMEM33",1.0269,1,"NA","21 vs 20","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"20 vs 20",1.01
"5542","ECI1",1.0269,1,"NA","351 vs 348","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"349 vs 347",1.02
"5545","PDLIM3",1.0269,1,"NA","378 vs 356","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"378 vs 356",1.03
"5546","CRIP3",1.0268,1,"NA","17 vs 14","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"15 vs 13",1.01
"5547","RD3",1.0268,1,"NA","442 vs 412","-",NA,"-",NA,"-",NA,"-",NA,"322 vs 321",1,"120 vs 91",1.02
"5548","INPP5B",1.0268,1,"NA","171 vs 152","-",NA,"-",NA,"6 vs 3",1.07,"-",NA,"1 vs 1",1,"164 vs 148",0.97
"5551","CNTD1",1.0268,1,"NA","170 vs 137","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"170 vs 137",1.03
"5553","TEX26",1.0267,1,"NA","380 vs 336","-",NA,"-",NA,"7 vs 7",1.02,"-",NA,"-",NA,"373 vs 329",1.01
"5554","SPINK9",1.0266,1,"NA","13 vs 9","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"12 vs 9",1.01
"5558","MAP10",1.0264,1,"NA","322 vs 286","-",NA,"-",NA,"3 vs 1",1.09,"-",NA,"-",NA,"319 vs 285",0.94
"5561","ADH7",1.0262,1,"NA","103 vs 82","-",NA,"-",NA,"4 vs 4",0.97,"-",NA,"-",NA,"99 vs 78",1.06
"5562","KHK",1.0262,1,"NA","117 vs 107","-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"115 vs 105",1.03
"5563","C19orf44",1.0262,1,"NA","116 vs 100","-",NA,"-",NA,"6 vs 3",1.06,"-",NA,"-",NA,"110 vs 97",0.97
"5564","MMP13",1.0262,1,"NA","156 vs 140","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"154 vs 140",0.98
"5566","AHSG",1.0262,1,"NA","335 vs 295","-",NA,"-",NA,"6 vs 3",1.01,"-",NA,"-",NA,"329 vs 292",1.02
"5568","TMEM92",1.0261,1,"NA","9 vs 7","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 7",1.03
"5569","PTHLH",1.0261,1,"NA","11 vs 7","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1.02,"9 vs 5",1.01
"5571","PTER",1.0261,1,"NA","153 vs 126","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"150 vs 125",0.99
"5572","CHURC1",1.0261,1,"NA","8 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 5",1.03
"5573","CCDC163",1.026,1,"NA","21 vs 19","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"21 vs 19",1.03
"5574","WDR76",1.026,1,"NA","204 vs 197","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"202 vs 196",1.01
"5577","TENT5C",1.0259,1,"NA","229 vs 187","-",NA,"-",NA,"-",NA,"-",NA,"20 vs 15",0.97,"209 vs 172",1.06
"5578","GTF2H5",1.0259,1,"NA","15 vs 11","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"14 vs 11",1
"5579","MUT",1.0258,1,"NA","177 vs 166","-",NA,"-",NA,"6 vs 2",1.08,"-",NA,"-",NA,"171 vs 164",0.95
"5581","MTFR1",1.0258,1,"NA","84 vs 63","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"82 vs 62",1.02
"5583","C16orf54",1.0257,1,"NA","47 vs 44","-",NA,"-",NA,"-",NA,"-",NA,"42 vs 40",1.03,"5 vs 4",1
"5586","MRVI1",1.0257,1,"NA","1169 vs 1112","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"1167 vs 1112",0.98
"5590","AHSP",1.0256,1,"NA","125 vs 118","-",NA,"-",NA,"3 vs 2",1.05,"-",NA,"-",NA,"122 vs 116",0.98
"5591","CNN2",1.0256,1,"NA","36 vs 31","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"35 vs 30",1.03
"5595","KRT40",1.0255,1,"NA","370 vs 320","-",NA,"-",NA,"13 vs 11",1.01,"-",NA,"-",NA,"357 vs 309",1.01
"5597","POLN",1.0255,1,"NA","973 vs 885","-",NA,"-",NA,"23 vs 17",0.97,"-",NA,"-",NA,"950 vs 868",1.05
"5598","VCPKMT",1.0255,1,"NA","123 vs 108","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"121 vs 107",1.02
"5599","CREB3L1",1.0254,1,"NA","356 vs 297","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"356 vs 297",1.03
"5600","RBM41",1.0253,1,"NA","24 vs 21","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 21",1.03
"5603","SUSD4",1.0253,1,"NA","121 vs 108","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"120 vs 107",1.03
"5604","PRSS37",1.0253,1,"NA","98 vs 89","-",NA,"-",NA,"5 vs 3",1,"-",NA,"-",NA,"93 vs 86",1.03
"5606","A2ML1",1.0253,1,"NA","809 vs 791","-",NA,"-",NA,"30 vs 23",1.05,"-",NA,"-",NA,"779 vs 768",0.97
"5609","COQ3",1.0252,1,"NA","120 vs 120","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"120 vs 120",1.03
"5611","MT4",1.0251,1,"NA","9 vs 8","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"8 vs 8",1
"5614","BLVRB",1.0251,1,"NA","220 vs 208","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"218 vs 207",0.99
"5615","RBM28",1.025,1,"NA","836 vs 828","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"835 vs 827",1.03
"5616","OR2J1",1.025,1,"NA","135 vs 125","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"134 vs 125",1
"5617","CETN3",1.025,1,"NA","10 vs 9","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"9 vs 9",1
"5621","C17orf64",1.0248,1,"NA","60 vs 50","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"57 vs 49",0.98
"5624","PARP16",1.0247,1,"NA","167 vs 154","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"165 vs 154",0.98
"5625","GNG4",1.0247,1,"NA","5 vs 1","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 1",1.02
"5627","UGT1A5",1.0245,1,"NA","103 vs 92","-",NA,"-",NA,"7 vs 5",0.99,"-",NA,"-",NA,"96 vs 87",1.03
"5630","WFDC6",1.0242,1,"NA","18 vs 15","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"17 vs 15",1
"5632","METTL7A",1.0241,1,"NA","173 vs 158","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"173 vs 158",1.02
"5635","PCDHGC4",1.0241,1,"NA","625 vs 593","-",NA,"-",NA,"-",NA,"-",NA,"36 vs 33",0.96,"589 vs 560",1.06
"5637","KCTD18",1.024,1,"NA","190 vs 161","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"188 vs 160",1
"5638","ACADL",1.024,1,"NA","492 vs 445","-",NA,"-",NA,"1 vs 1",1,"-",NA,"2 vs 2",0.99,"489 vs 442",1.03
"5640","CST9L",1.0239,1,"NA","145 vs 141","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"144 vs 141",1
"5644","AXIN2",1.0238,1,"NA","351 vs 315","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"351 vs 315",1.02
"5647","ZNF215",1.0238,1,"NA","399 vs 373","-",NA,"-",NA,"29 vs 20",1.05,"-",NA,"-",NA,"370 vs 353",0.98
"5648","SLC7A9",1.0238,1,"NA","147 vs 127","-",NA,"-",NA,"3 vs 2",1.01,"-",NA,"15 vs 10",1.03,"129 vs 115",0.99
"5649","MXRA7",1.0237,1,"NA","26 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"26 vs 18",1.02
"5652","PTCD2",1.0237,1,"NA","39 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"39 vs 31",1.02
"5655","TNFRSF19",1.0236,1,"NA","553 vs 522","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"551 vs 521",1.02
"5657","CRIPT",1.0236,1,"NA","4 vs 3","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"3 vs 3",1
"5658","H1F0",1.0235,1,"NA","8 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.02,"6 vs 5",1
"5660","BICRAL",1.0235,1,"NA","290 vs 285","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"289 vs 284",1.05
"5661","THEMIS",1.0234,1,"NA","309 vs 284","-",NA,"-",NA,"3 vs 2",1.03,"-",NA,"-",NA,"306 vs 282",0.99
"5663","C6orf226",1.0234,1,"NA","20 vs 16","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 16",1.02
"5664","CCDC32",1.0234,1,"NA","12 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 8",1.02
"5666","FAM192A",1.0233,1,"NA","55 vs 38","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"55 vs 38",1.02
"5667","CARTPT",1.0233,1,"NA","73 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 3",1.02,"69 vs 49",1
"5671","DDTL",1.0232,1,"NA","7 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 4",1.02
"5673","SPC25",1.0232,1,"NA","10 vs 8","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"9 vs 8",1
"5675","SH3YL1",1.0231,1,"NA","80 vs 77","-",NA,"-",NA,"2 vs 1",1,"-",NA,"-",NA,"78 vs 76",1.03
"5677","PDE1A",1.0231,1,"NA","62 vs 51","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"62 vs 51",1.02
"5680","TMEM202",1.023,1,"NA","157 vs 156","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"156 vs 156",1
"5681","HIST1H2BB",1.023,1,"NA","31 vs 30","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"30 vs 30",0.97
"5683","RNASE6",1.0229,1,"NA","39 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"39 vs 28",1.02
"5685","FAM104A",1.0228,1,"NA","114 vs 105","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"114 vs 105",1.02
"5686","WDR18",1.0228,1,"NA","94 vs 77","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 5",1.01,"87 vs 72",1.01
"5687","RAB5IF",1.0228,1,"NA","13 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 8",1.02
"5689","ZMAT5",1.0228,1,"NA","33 vs 33","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 33",1.02
"5690","GFER",1.0226,1,"NA","53 vs 36","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"7 vs 7",0.92,"45 vs 29",1.09
"5691","BTC",1.0226,1,"NA","35 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 31",1.02
"5692","LUZP4",1.0226,1,"NA","27 vs 22","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"26 vs 22",1
"5695","VTCN1",1.0225,1,"NA","432 vs 422","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"431 vs 422",1
"5696","MRPL24",1.0225,1,"NA","81 vs 56","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"3 vs 3",0.97,"77 vs 53",1.03
"5697","DMAC2L",1.0225,1,"NA","36 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"36 vs 28",1.02
"5702","GUCA2B",1.0223,1,"NA","10 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 6",1.02
"5705","RAB17",1.0222,1,"NA","192 vs 171","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"192 vs 171",1.02
"5706","CYS1",1.0222,1,"NA","21 vs 10","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"20 vs 9",1.04
"5707","POSTN",1.0221,1,"NA","392 vs 358","-",NA,"-",NA,"6 vs 3",1.03,"-",NA,"-",NA,"386 vs 355",0.99
"5709","MASP2",1.0221,1,"NA","815 vs 755","-",NA,"-",NA,"4 vs 1",1.08,"-",NA,"-",NA,"811 vs 754",0.95
"5710","ZCCHC10",1.0221,1,"NA","24 vs 20","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 20",1.02
"5711","PMM1",1.022,1,"NA","256 vs 241","-",NA,"-",NA,"4 vs 4",0.95,"-",NA,"20 vs 19",1.07,"232 vs 218",1
"5712","KLK10",1.022,1,"NA","95 vs 79","-",NA,"-",NA,"14 vs 8",1.06,"-",NA,"-",NA,"81 vs 71",0.96
"5714","NPL",1.022,1,"NA","64 vs 60","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"63 vs 60",1
"5715","PYGO2",1.0219,1,"NA","61 vs 60","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"61 vs 60",1.02
"5716","ARRDC5",1.0219,1,"NA","198 vs 194","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"197 vs 194",1
"5718","MMP9",1.0219,1,"NA","5 vs 3","-",NA,"-",NA,"5 vs 3",1.02,"-",NA,"-",NA,"-",NA
"5719","ZNF18",1.0219,1,"4","784 vs 770","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"782 vs 770",0.98
"5720","SPATA9",1.0219,1,"NA","838 vs 775","-",NA,"-",NA,"4 vs 2",1,"-",NA,"-",NA,"834 vs 773",1.02
"5721","CNPY3",1.0218,1,"NA","21 vs 15","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"20 vs 14",1.02
"5726","RGN",1.0217,1,"NA","36 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"36 vs 31",1.02
"5728","LTO1",1.0216,1,"NA","65 vs 58","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"65 vs 58",1.02
"5731","PTPN11",1.0215,1,"4","37 vs 33","-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"18 vs 18",1.06,"18 vs 14",1.01
"5734","CLEC2B",1.0214,1,"NA","17 vs 14","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"16 vs 14",1
"5735","LIN28A",1.0214,1,"NA","28 vs 19","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"27 vs 19",1
"5738","NECTIN3",1.0214,1,"NA","118 vs 98","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"118 vs 98",1.02
"5739","GNG12",1.0214,1,"NA","20 vs 10","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 10",1.02
"5742","RFT1",1.0213,1,"NA","131 vs 122","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"130 vs 122",1
"5743","PGBD4",1.0213,1,"NA","112 vs 106","-",NA,"-",NA,"1 vs 1",1,"-",NA,"13 vs 11",1.01,"98 vs 94",1.02
